module,package,create_results_data_model
CharacterizationModule,Characterization,TRUE
CohortDiagnosticsModule,CohortDiagnostics,TRUE
CohortGeneratorModule,CohortGenerator,TRUE
CohortIncidenceModule,CohortIncidence,TRUE
CohortMethodModule,CohortMethod,TRUE
EvidenceSynthesisModule,EvidenceSynthesis,TRUE
PatientLevelPredictionModule,PatientLevelPrediction,TRUE
PatientLevelPredictionValidationModule,PatientLevelPrediction,FALSE
PheValuatorModule,PheValuator,TRUE
SelfControlledCaseSeriesModule,SelfControlledCaseSeries,TRUE
TreatmentPatternsModule,TreatmentPatterns,TRUE
