table_name,column_name,data_type,is_required,primary_key,description
algorithm_performance_results,phenotype,varchar(255),yes,no,Name of the phenotype evaluated
algorithm_performance_results,database_id,varchar(255),yes,yes,Unique identifier for the database
algorithm_performance_results,cohort_id,int,yes,yes,The cohort definition ID of the phenotype algorithm evaluated
algorithm_performance_results,sensitivity_95_ci,varchar(255),no,no,"Sensitivity with 95% confidence interval"
algorithm_performance_results,ppv_95_ci,varchar(255),no,no,"Positive predictive value with 95% confidence interval"
algorithm_performance_results,specificity_95_ci,varchar(255),no,no,"Specificity with 95% confidence interval"
algorithm_performance_results,npv_95_ci,varchar(255),no,no,"Negative predictive value with 95% confidence interval"
algorithm_performance_results,f1_score,varchar(50),no,no,F1 score
algorithm_performance_results,total_subjects,bigint,no,no,Total subjects in the evaluation cohort
algorithm_performance_results,raw_cases,bigint,no,no,Raw number of cases in the evaluation cohort
algorithm_performance_results,estimated_cases,bigint,no,no,Estimated number of true cases
algorithm_performance_results,raw_tar,varchar(50),no,no,Raw time at risk in person-years
algorithm_performance_results,estimated_tar,varchar(50),no,no,Estimated time at risk in person-years
algorithm_performance_results,raw_prevalence,varchar(50),no,no,Raw prevalence percentage
algorithm_performance_results,estimated_prevalence,varchar(50),no,no,Estimated prevalence percentage
algorithm_performance_results,raw_prevalence_rate,varchar(50),no,no,Raw prevalence rate per 100 person-years
algorithm_performance_results,estimated_prevalence_rate,varchar(50),no,no,Estimated prevalence rate per 100 person-years
algorithm_performance_results,true_positives,bigint,no,no,Number of true positives
algorithm_performance_results,true_negatives,bigint,no,no,Number of true negatives
algorithm_performance_results,false_positives,bigint,no,no,Number of false positives
algorithm_performance_results,false_negatives,bigint,no,no,Number of false negatives
algorithm_performance_results,washout_period,int,no,no,Washout period in days
algorithm_performance_results,splay_prior,int,no,no,Days prior splay
algorithm_performance_results,splay_post,int,no,no,Days post splay
algorithm_performance_results,cut_point,varchar(255),yes,yes,The prediction threshold cut point used for evaluation
algorithm_performance_results,sensitivity,varchar(50),no,no,Sensitivity
algorithm_performance_results,sensitivity_ci95_lb,varchar(50),no,no,Sensitivity 95% CI lower bound
algorithm_performance_results,sensitivity_ci95_ub,varchar(50),no,no,Sensitivity 95% CI upper bound
algorithm_performance_results,ppv,varchar(50),no,no,Positive predictive value
algorithm_performance_results,ppv_ci95_lb,varchar(50),no,no,PPV 95% CI lower bound
algorithm_performance_results,ppv_ci95_ub,varchar(50),no,no,PPV 95% CI upper bound
algorithm_performance_results,specificity,varchar(50),no,no,Specificity
algorithm_performance_results,specificity_ci95_lb,varchar(50),no,no,Specificity 95% CI lower bound
algorithm_performance_results,specificity_ci95_ub,varchar(50),no,no,Specificity 95% CI upper bound
algorithm_performance_results,npv,varchar(50),no,no,Negative predictive value
algorithm_performance_results,npv_ci95_lb,varchar(50),no,no,NPV 95% CI lower bound
algorithm_performance_results,npv_ci95_ub,varchar(50),no,no,NPV 95% CI upper bound
algorithm_performance_results,analysis_name,varchar(255),no,no,Name of the PheValuator analysis
algorithm_performance_results,run_date_time,varchar(255),no,no,Date and time of the PheValuator run
algorithm_performance_results,analysis_id_results,int,no,no,Analysis identifier from PheValuator
algorithm_performance_results,description,varchar(255),no,no,Description of the PheValuator analysis
cohort_definition_set,phenotype,varchar(255),no,no,Name of the phenotype
cohort_definition_set,analysis_name,varchar(255),no,no,Name of the analysis
cohort_definition_set,database_id,varchar(255),yes,yes,Unique identifier for the database
cohort_definition_set,run_date_time,varchar(255),no,no,Date and time of the run
cohort_definition_set,cohort_id,int,no,yes,The cohort definition ID
cohort_definition_set,cohort_name,varchar(255),no,no,The cohort name
cohort_definition_set,sql,varchar,no,no,The SQL for the cohort definition
